model_name,cpu_cores,mem_cap_gb,gpu_mode,gpu_name,batch_size,context_length,prediction_length,repeat_idx,warmup,latency_s,throughput_samples_per_s,avg_power_eff_w,peak_power_eff_w,energy_eff_j,cold_start_s,status,error
amazon/chronos-bolt-base,1,8,off,nan,1,256,64,2,0,0.202010,4.950254,nan,nan,nan,4.042,ok,
amazon/chronos-bolt-base,1,8,off,nan,1,256,64,3,0,0.199782,5.005466,nan,nan,nan,4.042,ok,
amazon/chronos-bolt-base,1,8,off,nan,1,256,64,4,0,0.271013,3.689861,nan,nan,nan,4.042,ok,
amazon/chronos-bolt-base,1,8,off,nan,1,512,64,0,1,0.206267,4.848086,nan,nan,nan,4.042,ok,
amazon/chronos-bolt-base,1,8,off,nan,1,512,64,1,1,0.205120,4.875204,nan,nan,nan,4.042,ok,
amazon/chronos-bolt-base,1,8,off,nan,1,512,64,0,0,0.277552,3.602928,nan,nan,nan,4.042,ok,
amazon/chronos-bolt-base,1,8,off,nan,1,512,64,1,0,0.204652,4.886344,nan,nan,nan,4.042,ok,
amazon/chronos-bolt-base,1,8,off,nan,1,512,64,2,0,0.205587,4.864111,nan,nan,nan,4.042,ok,
amazon/chronos-bolt-base,1,8,off,nan,1,512,64,3,0,0.280808,3.561155,nan,nan,nan,4.042,ok,
amazon/chronos-bolt-base,1,8,off,nan,1,512,64,4,0,0.201384,4.965643,nan,nan,nan,4.042,ok,
amazon/chronos-bolt-base,1,8,off,nan,1,1024,64,0,1,0.289485,3.454405,nan,nan,nan,4.042,ok,
amazon/chronos-bolt-base,1,8,off,nan,1,1024,64,1,1,0.295963,3.378795,nan,nan,nan,4.042,ok,
amazon/chronos-bolt-base,1,8,off,nan,1,1024,64,0,0,0.288860,3.461880,nan,nan,nan,4.042,ok,
amazon/chronos-bolt-base,1,8,off,nan,1,1024,64,1,0,0.292062,3.423928,nan,nan,nan,4.042,ok,
amazon/chronos-bolt-base,1,8,off,nan,1,1024,64,2,0,0.291845,3.426472,nan,nan,nan,4.042,ok,
amazon/chronos-bolt-base,1,8,off,nan,1,1024,64,3,0,0.294391,3.396840,nan,nan,nan,4.042,ok,
amazon/chronos-bolt-base,1,8,off,nan,1,1024,64,4,0,0.296281,3.375171,nan,nan,nan,4.042,ok,
amazon/chronos-bolt-base,1,8,off,nan,1,2048,64,0,1,0.394229,2.536600,nan,nan,nan,4.042,ok,
amazon/chronos-bolt-base,1,8,off,nan,1,2048,64,1,1,0.391843,2.552044,nan,nan,nan,4.042,ok,
amazon/chronos-bolt-base,1,8,off,nan,1,2048,64,0,0,0.394568,2.534418,nan,nan,nan,4.042,ok,
amazon/chronos-bolt-base,1,8,off,nan,1,2048,64,1,0,0.393511,2.541226,nan,nan,nan,4.042,ok,
amazon/chronos-bolt-base,1,8,off,nan,1,2048,64,2,0,0.321988,3.105704,nan,nan,nan,4.042,ok,
amazon/chronos-bolt-base,1,8,off,nan,1,2048,64,3,0,0.398451,2.509721,nan,nan,nan,4.042,ok,
amazon/chronos-bolt-base,1,8,off,nan,1,2048,64,4,0,0.389762,2.565670,nan,nan,nan,4.042,ok,
amazon/chronos-bolt-base,1,16,off,nan,1,64,64,0,1,0.160046,6.248189,nan,nan,nan,4.204,ok,
amazon/chronos-bolt-base,1,16,off,nan,1,64,64,1,1,0.191456,5.223126,nan,nan,nan,4.204,ok,
amazon/chronos-bolt-base,1,16,off,nan,1,64,64,0,0,0.191780,5.214320,nan,nan,nan,4.204,ok,
amazon/chronos-bolt-base,1,16,off,nan,1,64,64,1,0,0.195920,5.104114,nan,nan,nan,4.204,ok,
amazon/chronos-bolt-base,1,16,off,nan,1,64,64,2,0,0.200783,4.980499,nan,nan,nan,4.204,ok,
amazon/chronos-bolt-base,1,16,off,nan,1,64,64,3,0,0.192141,5.204502,nan,nan,nan,4.204,ok,
amazon/chronos-bolt-base,1,16,off,nan,1,64,64,4,0,0.187546,5.332029,nan,nan,nan,4.204,ok,
amazon/chronos-bolt-base,1,16,off,nan,1,128,64,0,1,0.190180,5.258169,nan,nan,nan,4.204,ok,
amazon/chronos-bolt-base,1,16,off,nan,1,128,64,1,1,0.207565,4.817770,nan,nan,nan,4.204,ok,
amazon/chronos-bolt-base,1,16,off,nan,1,128,64,0,0,0.303169,3.298488,nan,nan,nan,4.204,ok,
amazon/chronos-bolt-base,1,16,off,nan,1,128,64,1,0,0.385824,2.591855,nan,nan,nan,4.204,ok,
amazon/chronos-bolt-base,1,16,off,nan,1,128,64,2,0,0.199077,5.023179,nan,nan,nan,4.204,ok,
amazon/chronos-bolt-base,1,16,off,nan,1,128,64,3,0,0.290899,3.437620,nan,nan,nan,4.204,ok,
amazon/chronos-bolt-base,1,16,off,nan,1,128,64,4,0,0.187257,5.340262,nan,nan,nan,4.204,ok,
amazon/chronos-bolt-base,1,16,off,nan,1,256,64,0,1,0.205551,4.864966,nan,nan,nan,4.204,ok,
amazon/chronos-bolt-base,1,16,off,nan,1,256,64,1,1,0.496253,2.015101,nan,nan,nan,4.204,ok,
amazon/chronos-bolt-base,1,16,off,nan,1,256,64,0,0,0.276949,3.610771,nan,nan,nan,4.204,ok,
amazon/chronos-bolt-base,1,16,off,nan,1,256,64,1,0,0.199499,5.012547,nan,nan,nan,4.204,ok,
amazon/chronos-bolt-base,1,16,off,nan,1,256,64,2,0,0.194522,5.140806,nan,nan,nan,4.204,ok,
amazon/chronos-bolt-base,1,16,off,nan,1,256,64,3,0,0.194078,5.152577,nan,nan,nan,4.204,ok,
amazon/chronos-bolt-base,1,16,off,nan,1,256,64,4,0,0.191045,5.234377,nan,nan,nan,4.204,ok,
amazon/chronos-bolt-base,1,16,off,nan,1,512,64,0,1,0.208465,4.796965,nan,nan,nan,4.204,ok,
amazon/chronos-bolt-base,1,16,off,nan,1,512,64,1,1,0.373676,2.676116,nan,nan,nan,4.204,ok,
amazon/chronos-bolt-base,1,16,off,nan,1,512,64,0,0,0.208923,4.786453,nan,nan,nan,4.204,ok,
amazon/chronos-bolt-base,1,16,off,nan,1,512,64,1,0,0.281523,3.552102,nan,nan,nan,4.204,ok,
amazon/chronos-bolt-base,1,16,off,nan,1,512,64,2,0,0.202050,4.949271,nan,nan,nan,4.204,ok,
amazon/chronos-bolt-base,1,16,off,nan,1,512,64,3,0,0.276606,3.615248,nan,nan,nan,4.204,ok,
amazon/chronos-bolt-base,1,16,off,nan,1,512,64,4,0,0.202005,4.950371,nan,nan,nan,4.204,ok,
amazon/chronos-bolt-base,1,16,off,nan,1,1024,64,0,1,0.284013,3.520962,nan,nan,nan,4.204,ok,
amazon/chronos-bolt-base,1,16,off,nan,1,1024,64,1,1,0.292639,3.417176,nan,nan,nan,4.204,ok,
amazon/chronos-bolt-base,1,16,off,nan,1,1024,64,0,0,0.290772,3.439121,nan,nan,nan,4.204,ok,
amazon/chronos-bolt-base,1,16,off,nan,1,1024,64,1,0,0.288852,3.461976,nan,nan,nan,4.204,ok,
