model_name,cpu_cores,mem_cap_gb,gpu_mode,gpu_name,batch_size,context_length,prediction_length,repeat_idx,warmup,latency_s,throughput_samples_per_s,avg_power_eff_w,peak_power_eff_w,energy_eff_j,cold_start_s,status,error
amazon/chronos-bolt-base,1,8,on,NVIDIA GeForce RTX 3080,1,2048,64,4,0,0.042404,23.582616,0.420000,0.702000,0.088104,6.960,ok,
amazon/chronos-bolt-base,1,16,on,NVIDIA GeForce RTX 3080,1,64,64,0,1,0.646588,1.546581,8.448529,8.651000,6.800687,6.914,ok,
amazon/chronos-bolt-base,1,16,on,NVIDIA GeForce RTX 3080,1,64,64,1,1,0.042012,23.802541,0.211000,0.333000,0.044073,6.914,ok,
amazon/chronos-bolt-base,1,16,on,NVIDIA GeForce RTX 3080,1,64,64,0,0,0.039929,25.044624,0.198600,0.292000,0.042285,6.914,ok,
amazon/chronos-bolt-base,1,16,on,NVIDIA GeForce RTX 3080,1,64,64,1,0,0.038876,25.722540,0.171600,0.296000,0.035441,6.914,ok,
amazon/chronos-bolt-base,1,16,on,NVIDIA GeForce RTX 3080,1,64,64,2,0,0.041966,23.828884,0.193200,0.324000,0.039964,6.914,ok,
amazon/chronos-bolt-base,1,16,on,NVIDIA GeForce RTX 3080,1,64,64,3,0,0.037978,26.331337,0.112400,0.248500,0.022040,6.914,ok,
amazon/chronos-bolt-base,1,16,on,NVIDIA GeForce RTX 3080,1,64,64,4,0,0.037484,26.678068,0.226800,0.291000,0.049979,6.914,ok,
amazon/chronos-bolt-base,1,16,on,NVIDIA GeForce RTX 3080,1,128,64,0,1,0.038986,25.650445,0.065400,0.117000,0.014097,6.914,ok,
amazon/chronos-bolt-base,1,16,on,NVIDIA GeForce RTX 3080,1,128,64,1,1,0.041028,24.373506,0.137200,0.232000,0.028707,6.914,ok,
amazon/chronos-bolt-base,1,16,on,NVIDIA GeForce RTX 3080,1,128,64,0,0,0.038039,26.288691,0.215600,0.315000,0.045696,6.914,ok,
amazon/chronos-bolt-base,1,16,on,NVIDIA GeForce RTX 3080,1,128,64,1,0,0.041788,23.930561,0.234800,0.291000,0.051534,6.914,ok,
amazon/chronos-bolt-base,1,16,on,NVIDIA GeForce RTX 3080,1,128,64,2,0,0.042676,23.432299,0.173800,0.301000,0.036129,6.914,ok,
amazon/chronos-bolt-base,1,16,on,NVIDIA GeForce RTX 3080,1,128,64,3,0,0.037405,26.734098,0.166600,0.273000,0.034795,6.914,ok,
amazon/chronos-bolt-base,1,16,on,NVIDIA GeForce RTX 3080,1,128,64,4,0,0.038075,26.264185,0.171600,0.265500,0.036537,6.914,ok,
amazon/chronos-bolt-base,1,16,on,NVIDIA GeForce RTX 3080,1,256,64,0,1,0.040341,24.788548,0.220800,0.277000,0.048745,6.914,ok,
amazon/chronos-bolt-base,1,16,on,NVIDIA GeForce RTX 3080,1,256,64,1,1,0.038687,25.848400,0.188400,0.316000,0.039234,6.914,ok,
amazon/chronos-bolt-base,1,16,on,NVIDIA GeForce RTX 3080,1,256,64,0,0,0.038287,26.118539,0.084600,0.211500,0.015947,6.914,ok,
amazon/chronos-bolt-base,1,16,on,NVIDIA GeForce RTX 3080,1,256,64,1,0,0.037546,26.633836,0.188400,0.259500,0.040788,6.914,ok,
amazon/chronos-bolt-base,1,16,on,NVIDIA GeForce RTX 3080,1,256,64,2,0,0.041868,23.884655,0.117600,0.199000,0.024779,6.914,ok,
amazon/chronos-bolt-base,1,16,on,NVIDIA GeForce RTX 3080,1,256,64,3,0,0.039557,25.280066,0.153200,0.257000,0.032146,6.914,ok,
amazon/chronos-bolt-base,1,16,on,NVIDIA GeForce RTX 3080,1,256,64,4,0,0.039117,25.564061,0.151200,0.237000,0.032184,6.914,ok,
amazon/chronos-bolt-base,1,16,on,NVIDIA GeForce RTX 3080,1,512,64,0,1,0.054057,18.498977,0.274833,0.355000,0.073939,6.914,ok,
amazon/chronos-bolt-base,1,16,on,NVIDIA GeForce RTX 3080,1,512,64,1,1,0.039058,25.603128,0.299200,0.407000,0.064570,6.914,ok,
amazon/chronos-bolt-base,1,16,on,NVIDIA GeForce RTX 3080,1,512,64,0,0,0.039637,25.228944,0.226200,0.383000,0.047182,6.914,ok,
amazon/chronos-bolt-base,1,16,on,NVIDIA GeForce RTX 3080,1,512,64,1,0,0.039341,25.419093,0.201800,0.341000,0.042126,6.914,ok,
amazon/chronos-bolt-base,1,16,on,NVIDIA GeForce RTX 3080,1,512,64,2,0,0.038780,25.786558,0.234400,0.398000,0.048817,6.914,ok,
amazon/chronos-bolt-base,1,16,on,NVIDIA GeForce RTX 3080,1,512,64,3,0,0.038973,25.658722,0.312400,0.405500,0.068509,6.914,ok,
amazon/chronos-bolt-base,1,16,on,NVIDIA GeForce RTX 3080,1,512,64,4,0,0.039635,25.230275,0.203000,0.341000,0.042424,6.914,ok,
amazon/chronos-bolt-base,1,16,on,NVIDIA GeForce RTX 3080,1,1024,64,0,1,0.041630,24.021014,0.238000,0.400000,0.049982,6.914,ok,
amazon/chronos-bolt-base,1,16,on,NVIDIA GeForce RTX 3080,1,1024,64,1,1,0.039745,25.160580,0.336800,0.541000,0.070681,6.914,ok,
amazon/chronos-bolt-base,1,16,on,NVIDIA GeForce RTX 3080,1,1024,64,0,0,0.043389,23.047079,0.364800,0.463500,0.080767,6.914,ok,
amazon/chronos-bolt-base,1,16,on,NVIDIA GeForce RTX 3080,1,1024,64,1,0,0.041412,24.147610,0.296600,0.521000,0.061377,6.914,ok,
amazon/chronos-bolt-base,1,16,on,NVIDIA GeForce RTX 3080,1,1024,64,2,0,0.043190,23.153336,0.335000,0.539000,0.069672,6.914,ok,
